Date,發行量加權股價報酬指數
1995/8/2,"7,312.58"
1995/8/3,"7,313.03"
1995/8/4,"7,291.55"
1995/8/7,"7,266.14"
1995/8/8,"7,370.27"
1995/8/9,"7,454.19"
1995/8/10,"7,481.92"
1995/8/11,"7,474.43"
1995/8/14,"7,524.54"
1995/8/15,"7,529.13"
1995/8/16,"7,623.59"
1995/8/17,"7,675.58"
1995/8/18,"7,662.14"
1995/8/21,"7,418.51"
1995/8/22,"7,515.91"
1995/8/23,"7,477.51"
1995/8/24,"7,476.85"
1995/8/25,"7,451.15"
1995/8/28,"7,358.15"
1995/8/29,"7,398.41"
1995/8/30,"7,521.04"
1995/8/31,"7,550.08"
1995/9/1,"7,595.79"
1995/9/4,"7,709.54"
1995/9/5,"7,691.43"
1995/9/6,"7,638.64"
1995/9/7,"7,635.45"
1995/9/8,"7,644.58"
1995/9/11,"7,645.87"
1995/9/12,"7,568.23"
1995/9/13,"7,613.17"
1995/9/14,"7,539.60"
1995/9/15,"7,633.80"
1995/9/18,"7,867.13"
1995/9/19,"7,866.52"
1995/9/20,"7,861.97"
1995/9/21,"7,875.82"
1995/9/22,"7,871.14"
1995/9/25,"7,900.41"
